source,target,regex,code,type,hits,title,status
"/nomadictaiwanese/","https://angiecreates.io/blog/",0,301,"url",0,"","active"
"/about/angie-coaching-experience/","https://angiecreates.io/english/",0,301,"url",0,"","active"
"/coaching-experiences/","https://angiecreates.io/english/",0,301,"url",0,"","active"
"/home/overseas/","https://angiecreates.io/blog/",0,301,"url",0,"","active"
"/course-subscribe/","https://angiecreates.io/blog/",0,301,"url",0,"","active"
"/thank-you-for-subscribing/","https://angiecreates.io/",0,301,"url",0,"","active"
"/thankyoucbschool/","https://angiecreates.io/",0,301,"url",0,"","active"
"/we-have-officially-changed-our-name-of-transformation-lab-to-curious-barbell/","https://angiecreates.io/",0,301,"url",0,"","active"
"/%e8%81%af%e7%b5%a1/","https://angiecreates.io/english/",0,301,"url",0,"","active"
"/%e5%81%a5%e8%ba%ab%e9%87%8d%e8%a8%93%e5%85%a5%e9%96%80%e5%9b%9b%ef%bc%89%e6%96%b0%e6%89%8b%e5%a6%82%e4%bd%95%e9%81%b8%e6%93%87%e9%81%a9%e5%90%88%e8%87%aa%e5%b7%b1%e7%9a%84%e5%99%a8%e6%9d%90/","https://angiecreates.io/%e5%81%a5%e8%ba%ab%e9%87%8d%e8%a8%93%e5%85%a5%e9%96%80%e5%9b%9b%ef%bc%89%e6%96%b0%e6%89%8b%e5%a6%82%e4%bd%95%e9%81%b8%e6%93%87%e9%81%a9%e5%90%88%e8%87%aa%e5%b7%b1%e7%9a%84%e5%99%a8%e6%9d%90/",0,301,"url",0,"","active"
"/%e8%86%bd%e5%9b%8a%e5%88%87%e9%99%a4%e5%be%8c%e7%9a%84%e5%a2%9e%e8%82%8c%e9%a3%b2%e9%a3%9f%e9%81%b8%e6%93%87/","https://angiecreates.io/%e8%86%bd%e5%9b%8a%e5%88%87%e9%99%a4%e5%be%8c%e7%9a%84%e5%a2%9e%e8%82%8c%e9%a3%b2%e9%a3%9f%e9%81%b8%e6%93%87/",0,301,"url",0,"","active"
